Year,Team,Conference,Wins,Losses,Bowl Game,Average Attendance,total_revenue,total_expense
2007,Abilene Christian,FCS Independents,1.0,0.0,False,,,
2013,Abilene Christian,FCS Independents,6.0,5.0,False,15628.0,,
2014,Abilene Christian,Southland,5.0,6.0,False,13730.0,,
2015,Abilene Christian,Southland,3.0,7.0,False,32547.0,,
2016,Abilene Christian,Southland,2.0,9.0,False,34128.0,,
2017,Abilene Christian,Southland,2.0,9.0,False,24256.5,,
2018,Abilene Christian,Southland,6.0,5.0,False,45330.0,,
2019,Abilene Christian,Southland,5.0,7.0,False,38870.0,,
2020,Abilene Christian,Southland,1.0,5.0,False,3870.6666666666665,,
2021,Abilene Christian,AWC,5.0,6.0,False,23373.0,,
2022,Abilene Christian,Western Athletic,7.0,4.0,False,53253.0,,
2023,Abilene Christian,UAC,5.0,6.0,False,58144.0,,
2021,Adams State,Rocky Mountain,1.0,10.0,False,,,
2022,Adams State,Rocky Mountain,2.0,9.0,False,,,
2023,Adams State,Rocky Mountain,3.0,8.0,False,,,
2020,Adrian,Michigan,2.0,2.0,False,,,
2022,Adrian,Michigan,6.0,4.0,False,,,
2023,Adrian,Michigan,1.0,9.0,False,,,
2005,Air Force,Mountain West,4.0,7.0,False,0.0,15481081.0,14330645.0
2006,Air Force,Mountain West,4.0,8.0,False,36962.75,27085224.0,26606845.0
2007,Air Force,Mountain West,9.0,4.0,True,39537.66666666666,29024404.0,28064038.0
2008,Air Force,Mountain West,8.0,5.0,True,32452.666666666668,30604249.0,31174646.0
2009,Air Force,Mountain West,8.0,5.0,True,0.0,33616930.0,34945674.0
2010,Air Force,Mountain West,9.0,4.0,True,0.0,34915251.0,35081470.0
2011,Air Force,Mountain West,7.0,6.0,True,0.0,39823782.0,39430241.0
2012,Air Force,Mountain West,6.0,7.0,True,37125.25,44490055.0,43156740.0
2013,Air Force,Mountain West,2.0,10.0,False,30398.33333333333,39031348.0,39497086.0
2014,Air Force,Mountain West,10.0,3.0,True,24054.58333333333,46577840.0,41438813.0
2015,Air Force,Mountain West,8.0,6.0,True,29862.23076923077,50191669.0,43481337.0
2016,Air Force,Mountain West,10.0,3.0,True,27097.916666666668,,
2017,Air Force,Mountain West,5.0,7.0,False,35821.666666666664,59577780.0,50112617.0
2018,Air Force,Mountain West,5.0,7.0,False,25808.416666666668,60101907.0,53530468.0
2019,Air Force,Mountain West,11.0,2.0,True,29063.08333333333,60009782.0,54192115.0
2020,Air Force,Mountain West,3.0,3.0,False,1655.1666666666667,65517457.0,61445937.0
2021,Air Force,Mountain West,10.0,3.0,True,24573.166666666668,65914558.0,58680602.0
2022,Air Force,Mountain West,10.0,3.0,True,25737.166666666668,76587462.0,67422052.0
2023,Air Force,Mountain West,9.0,4.0,True,27453.916666666668,76587462.0,67422052.0
2005,Akron,Mid-American,7.0,6.0,True,0.0,14021914.0,13896456.0
2006,Akron,Mid-American,5.0,7.0,False,28205.08333333333,15301573.0,15751464.0
2007,Akron,Mid-American,4.0,8.0,False,16450.166666666668,17308323.0,16992718.0
2008,Akron,Mid-American,5.0,7.0,False,22617.166666666668,18711948.0,18858092.0
2009,Akron,Mid-American,3.0,9.0,False,0.0,20670298.0,20124113.0
2010,Akron,Mid-American,1.0,11.0,False,0.0,24012416.0,24498336.0
2011,Akron,Mid-American,1.0,11.0,False,0.0,25583730.0,25344459.0
2012,Akron,Mid-American,1.0,11.0,False,18468.666666666668,27217473.0,27225730.0
2013,Akron,Mid-American,5.0,7.0,False,25113.08333333333,27954164.0,28407737.0
2014,Akron,Mid-American,5.0,7.0,False,19097.58333333333,32774266.0,32050686.0
2015,Akron,Mid-American,8.0,5.0,True,22179.416666666668,31771467.0,34070009.0
2016,Akron,Mid-American,5.0,7.0,False,18962.75,34587155.0,35378884.0
2017,Akron,Mid-American,7.0,7.0,True,25196.53846153846,35331217.0,33895809.0
2018,Akron,Mid-American,4.0,8.0,False,25304.83333333333,34601000.0,34873226.0
2019,Akron,Mid-American,0.0,12.0,False,17366.0,37194485.0,37275978.0
2020,Akron,Mid-American,1.0,5.0,False,278.6666666666667,34130530.0,33564968.0
2021,Akron,Mid-American,2.0,10.0,False,24052.416666666668,26562185.0,25667906.0
2022,Akron,Mid-American,2.0,10.0,False,18926.81818181818,30498496.0,30290134.0
2023,Akron,Mid-American,2.0,10.0,False,16826.25,30498496.0,30290134.0
2005,Alabama,SEC,10.0,2.0,True,0.0,62287192.0,56989608.0
2006,Alabama,SEC,6.0,7.0,True,91812.08333333331,67730762.0,60636961.0
2007,Alabama,SEC,7.0,6.0,True,81131.75,87589777.0,77106548.0
2008,Alabama,SEC,12.0,2.0,True,88861.0,123769841.0,123370004.0
2009,Alabama,SEC,14.0,0.0,True,0.0,100302512.0,90868971.0
2010,Alabama,SEC,10.0,3.0,True,0.0,130542153.0,98961214.0
2011,Alabama,SEC,12.0,1.0,True,0.0,124498616.0,105068152.0
2012,Alabama,SEC,13.0,1.0,True,93810.69230769233,124899945.0,108204867.0
2013,Alabama,SEC,11.0,2.0,True,90481.91666666669,143776550.0,116607913.0
2014,Alabama,SEC,12.0,2.0,True,91823.30769230767,153234273.0,120184128.0
2015,Alabama,SEC,14.0,1.0,True,91980.76923076923,148911674.0,132354913.0
2016,Alabama,SEC,14.0,1.0,True,87214.61538461539,164009745.0,145277366.0
2017,Alabama,SEC,13.0,1.0,True,89882.16666666667,174307419.0,158646962.0
2018,Alabama,SEC,14.0,1.0,True,90204.07692307692,177481937.0,166533013.0
2019,Alabama,SEC,11.0,2.0,True,92791.16666666669,164090889.0,185317681.0
2020,Alabama,SEC,13.0,0.0,True,18367.272727272728,189282549.0,173141125.0
2021,Alabama,SEC,13.0,2.0,True,90757.3846153846,179800409.0,170191728.0
2022,Alabama,SEC,11.0,2.0,True,95318.41666666669,214365357.0,195881911.0
2023,Alabama,SEC,12.0,2.0,True,89399.07692307692,199913763.0,212030188.0
2006,Alabama A&M,SWAC,1.0,0.0,False,,,
2007,Alabama A&M,SWAC,8.0,3.0,False,,,
2008,Alabama A&M,SWAC,5.0,7.0,False,9717.0,,
2009,Alabama A&M,SWAC,7.0,4.0,False,,,
2010,Alabama A&M,SWAC,2.0,8.0,False,,,
2011,Alabama A&M,SWAC,8.0,3.0,False,,,
2012,Alabama A&M,SWAC,7.0,4.0,False,74832.0,,
2013,Alabama A&M,SWAC,3.0,8.0,False,49194.0,,
2014,Alabama A&M,SWAC,4.0,8.0,False,29604.0,,
2015,Alabama A&M,SWAC,3.0,7.0,False,39095.0,,
2016,Alabama A&M,SWAC,4.0,7.0,False,53709.0,,
2017,Alabama A&M,SWAC,4.0,7.0,False,29705.666666666668,,
2018,Alabama A&M,SWAC,5.0,5.0,False,28834.0,,
2019,Alabama A&M,SWAC,7.0,5.0,False,,,
2020,Alabama A&M,SWAC,5.0,0.0,False,,,
2021,Alabama A&M,SWAC,7.0,3.0,False,,,
2022,Alabama A&M,SWAC,4.0,7.0,False,29365.5,,
2023,Alabama A&M,SWAC,5.0,6.0,False,22035.0,,
2006,Alabama State,SWAC,0.0,1.0,False,26265.0,,
2007,Alabama State,SWAC,5.0,6.0,False,,,
2008,Alabama State,SWAC,3.0,8.0,False,26414.0,,
2009,Alabama State,SWAC,4.0,7.0,False,,,
2010,Alabama State,SWAC,6.0,4.0,False,,,
2011,Alabama State,SWAC,8.0,3.0,False,0.0,,
2012,Alabama State,SWAC,7.0,4.0,False,,,
2013,Alabama State,SWAC,8.0,3.0,False,53797.0,,
2014,Alabama State,SWAC,7.0,5.0,False,,,
2015,Alabama State,SWAC,5.0,5.0,False,,,
2016,Alabama State,SWAC,4.0,7.0,False,22380.0,,
2017,Alabama State,SWAC,5.0,6.0,False,29278.0,,
2018,Alabama State,SWAC,3.0,7.0,False,50518.5,,
2019,Alabama State,SWAC,5.0,6.0,False,46011.0,,
2020,Alabama State,SWAC,3.0,3.0,False,,,
2021,Alabama State,SWAC,5.0,6.0,False,82745.0,,
2022,Alabama State,SWAC,6.0,5.0,False,33727.0,,
2023,Alabama State,SWAC,7.0,4.0,False,,,
2021,Albany State GA,SIAC,9.0,2.0,False,,,
2022,Albany State GA,SIAC,7.0,3.0,False,,,
2023,Albany State GA,SIAC,6.0,5.0,True,,,
2020,Albion,Michigan,3.0,0.0,False,,,
2022,Albion,Michigan,9.0,1.0,False,,,
2023,Albion,Michigan,7.0,3.0,False,,,
2020,Albright,Mid Atlantic,1.0,1.0,False,,,
2022,Albright,Mid Atlantic,0.0,10.0,False,,,
2023,Albright,Mid Atlantic,0.0,10.0,False,,,
2005,Alcorn State,SWAC,0.0,1.0,False,,,
2006,Alcorn State,SWAC,0.0,1.0,False,18106.0,,
2007,Alcorn State,SWAC,2.0,8.0,False,21828.0,,
2008,Alcorn State,SWAC,2.0,10.0,False,16739.5,,
2009,Alcorn State,SWAC,3.0,6.0,False,0.0,,
2010,Alcorn State,SWAC,5.0,5.0,False,0.0,,
2011,Alcorn State,SWAC,2.0,8.0,False,,,
2012,Alcorn State,SWAC,4.0,7.0,False,21559.0,,
2013,Alcorn State,SWAC,8.0,3.0,False,55085.0,,
2014,Alcorn State,SWAC,10.0,3.0,False,26448.0,,
2015,Alcorn State,SWAC,8.0,3.0,True,49196.0,,
2016,Alcorn State,SWAC,5.0,6.0,False,46988.0,,
2017,Alcorn State,SWAC,7.0,5.0,False,5017.0,,
2018,Alcorn State,SWAC,9.0,4.0,True,25808.0,,
2019,Alcorn State,SWAC,9.0,4.0,True,31076.0,,
2020,Alcorn State,SWAC,0.0,6.0,False,,,
2021,Alcorn State,SWAC,6.0,5.0,False,15204.0,,
2022,Alcorn State,SWAC,5.0,6.0,False,14501.0,,
2023,Alcorn State,SWAC,7.0,4.0,False,30335.0,,
2014,Alderson-Broaddus,Independent DII,0.0,2.0,False,,,
2015,Alderson-Broaddus,Independent DII,0.0,1.0,False,,,
2016,Alderson-Broaddus,Great Midwest Athletic,1.0,0.0,False,,,
2020,Alderson-Broaddus,Mountain East,0.0,3.0,False,,,
2021,Alderson-Broaddus,Mountain East,1.0,10.0,False,,,
2022,Alderson-Broaddus,Mountain East,0.0,11.0,False,,,
2023,Alderson-Broaddus,Mountain East,0.0,0.0,False,,,
2022,Alfred State,ECFC,5.0,5.0,False,,,
2023,Alfred State,ECFC,6.0,5.0,True,,,
2020,Alfred University,Empire 8,1.0,1.0,False,,,
2022,Alfred University,Empire 8,2.0,8.0,False,,,
2023,Alfred University,Empire 8,4.0,6.0,False,,,
2022,Allegheny,Presidents',2.0,7.0,False,,,
2023,Allegheny,Presidents',3.0,7.0,False,,,
2021,Allen,SIAC,3.0,5.0,False,,,
2022,Allen,SIAC,1.0,8.0,False,,,
2023,Allen,SIAC,7.0,3.0,False,,,
2020,Alma,Michigan,1.0,1.0,False,,,
2022,Alma,Michigan,11.0,1.0,False,,,
2023,Alma,Michigan,12.0,1.0,True,,,
2014,American International,Northeast 10,0.0,1.0,False,,,
2015,American International,Northeast 10,0.0,1.0,False,,,
2021,American International,Northeast 10,4.0,6.0,False,,,
2022,American International,Northeast 10,1.0,9.0,False,,,
2023,American International,Northeast 10,3.0,8.0,False,,,
2022,Amherst,NESCAC,2.0,7.0,False,,,
2023,Amherst,NESCAC,4.0,5.0,False,,,
2020,Anderson (IN),Heartland,1.0,4.0,False,,,
2022,Anderson (IN),Heartland,1.0,9.0,False,,,
2023,Anderson (IN),Heartland,0.0,10.0,False,,,
2018,Angelo State,Lone Star,0.0,1.0,False,,,
2020,Angelo State,Lone Star,1.0,1.0,False,,,
2021,Angelo State,Lone Star,11.0,3.0,False,,,
2022,Angelo State,Lone Star,12.0,1.0,False,,,
2023,Angelo State,Lone Star,7.0,3.0,False,,,
2022,Anna Maria College,ECFC,5.0,4.0,False,,,
2023,Anna Maria College,ECFC,5.0,4.0,False,,,
2005,App State,Southern,10.0,3.0,False,45707.0,7634231.0,8011932.0
2006,App State,Southern,12.0,1.0,False,57583.0,9110063.0,9042340.0
2007,App State,Southern,11.0,2.0,False,109218.0,10485631.0,10513168.0
2008,App State,Southern,11.0,3.0,False,91922.0,13208247.0,13687188.0
2009,App State,Southern,11.0,2.0,False,0.0,15236543.0,15785349.0
2010,App State,Southern,10.0,2.0,False,0.0,15865704.0,16185310.0
2011,App State,Southern,8.0,4.0,False,0.0,17748605.0,15454170.0
2012,App State,Southern,8.0,4.0,False,49023.0,18644606.0,17238578.0
2013,App State,Southern,4.0,8.0,False,92746.0,19775727.0,21395675.0
2014,App State,Sun Belt,7.0,5.0,False,29041.25,19414754.0,19320283.0
2015,App State,Sun Belt,11.0,2.0,True,22888.916666666668,29695016.0,30648792.0
2016,App State,Sun Belt,10.0,3.0,True,28308.166666666668,31712155.0,31523281.0
2017,App State,Sun Belt,9.0,4.0,True,25799.666666666668,35058621.0,35065566.0
2018,App State,Sun Belt,11.0,2.0,True,26771.5,36940867.0,36853981.0
2019,App State,Sun Belt,13.0,1.0,True,28759.0,37996512.0,37773447.0
2020,App State,Sun Belt,9.0,3.0,True,3998.727272727273,34946428.0,34999267.0
2021,App State,Sun Belt,10.0,4.0,True,27122.153846153848,33202111.0,33425114.0
2022,App State,Sun Belt,6.0,6.0,False,36021.545454545456,38542661.0,38565701.0
2023,App State,Sun Belt,9.0,5.0,True,29252.846153846152,46465570.0,46379642.0
2022,Apprentice School,Independent DIII,0.0,1.0,False,,,
2023,Apprentice School,Independent DIII,1.0,3.0,False,,,
2005,Arizona,Pac-10,3.0,8.0,False,4975.272727272727,39655034.0,40760160.0
2006,Arizona,Pac-10,6.0,6.0,False,56743.083333333336,42303655.0,40479457.0
2007,Arizona,Pac-10,5.0,7.0,False,57624.91666666666,47519159.0,43267008.0
2008,Arizona,Pac-10,8.0,5.0,True,48168.91666666666,49241506.0,46211393.0
2009,Arizona,Pac-10,8.0,5.0,True,0.0,53372629.0,53177538.0
2010,Arizona,Pac-10,7.0,6.0,True,0.0,58118950.0,56919148.0
2011,Arizona,Pac-12,4.0,8.0,False,0.0,59663128.0,58506308.0
2012,Arizona,Pac-12,8.0,5.0,True,51391.083333333336,78024219.0,76802678.0
2013,Arizona,Pac-12,8.0,5.0,True,49649.0,68510915.0,68253136.0
2014,Arizona,Pac-12,10.0,4.0,True,49932.07692307692,99911034.0,95524260.0
2015,Arizona,Pac-12,7.0,6.0,True,51412.25,87135331.0,80706045.0
2016,Arizona,Pac-12,3.0,9.0,False,47590.083333333336,85356236.0,87254614.0
2017,Arizona,Pac-12,7.0,6.0,True,45569.5,90976758.0,91756963.0
2018,Arizona,Pac-12,5.0,7.0,False,42212.91666666666,95867717.0,103329464.0
2019,Arizona,Pac-12,4.0,8.0,False,42165.75,105091389.0,100565835.0
2020,Arizona,Pac-12,0.0,5.0,False,50.6,97814344.0,101084625.0
2021,Arizona,Pac-12,1.0,11.0,False,40921.083333333336,101776916.0,93431241.0
2022,Arizona,Pac-12,5.0,7.0,False,45022.083333333336,124353539.0,124944926.0
2023,Arizona,Pac-12,10.0,3.0,True,47407.25,143089052.0,142814430.0
2005,Arizona State,Pac-10,7.0,5.0,True,0.0,41334126.0,39749018.0
2006,Arizona State,Pac-10,7.0,6.0,True,51725.583333333336,50268561.0,48897603.0
2007,Arizona State,Pac-10,10.0,3.0,True,54492.41666666666,54735433.0,54832410.0
2008,Arizona State,Pac-10,5.0,7.0,False,62495.0,54833194.0,54296003.0
2009,Arizona State,Pac-10,4.0,8.0,False,0.0,51892026.0,53032149.0
2010,Arizona State,Pac-10,6.0,6.0,False,0.0,56505165.0,57905546.0
2011,Arizona State,Pac-12,6.0,7.0,True,0.0,55294113.0,57080884.0
2012,Arizona State,Pac-12,8.0,5.0,True,57236.66666666666,59855508.0,65587903.0
2013,Arizona State,Pac-12,10.0,4.0,True,58063.38461538462,65673955.0,65600187.0
2014,Arizona State,Pac-12,10.0,3.0,True,53229.25,74729269.0,74553104.0
2015,Arizona State,Pac-12,6.0,7.0,True,53327.91666666666,84440040.0,83873516.0
2016,Arizona State,Pac-12,5.0,7.0,False,50401.333333333336,94662743.0,89086777.0
2017,Arizona State,Pac-12,7.0,6.0,True,49866.833333333336,101579860.0,98825395.0
2018,Arizona State,Pac-12,7.0,6.0,True,49942.41666666666,113636755.0,126782387.0
2019,Arizona State,Pac-12,8.0,5.0,True,48534.75,121698840.0,118404377.0
2020,Arizona State,Pac-12,2.0,2.0,False,0.0,106989879.0,117912821.0
2021,Arizona State,Pac-12,8.0,5.0,True,47665.75,117675310.0,103772499.0
2022,Arizona State,Pac-12,3.0,9.0,False,42905.75,121079615.0,124008192.0
2023,Arizona State,Pac-12,3.0,9.0,False,50169.0,114507872.0,141717696.0
2005,Arkansas,SEC,4.0,7.0,False,14470.0,47322459.0,45916377.0
2006,Arkansas,SEC,10.0,4.0,True,66493.76923076923,49514971.0,48736994.0
2007,Arkansas,SEC,8.0,5.0,True,72511.16666666667,65416732.0,62169914.0
2008,Arkansas,SEC,5.0,7.0,False,70331.75,66174916.0,64632499.0
2009,Arkansas,SEC,8.0,5.0,True,0.0,65835778.0,64609733.0
2010,Arkansas,SEC,10.0,3.0,True,0.0,78072620.0,71801905.0
2011,Arkansas,SEC,11.0,2.0,True,0.0,91768112.0,79392988.0
2012,Arkansas,SEC,4.0,8.0,False,69606.25,99757482.0,82470473.0
2013,Arkansas,SEC,3.0,9.0,False,68793.25,99770840.0,92131933.0
2014,Arkansas,SEC,7.0,6.0,True,61649.083333333336,96793972.0,94640408.0
2015,Arkansas,SEC,8.0,5.0,True,75340.25,114172847.0,97106539.0
2016,Arkansas,SEC,7.0,6.0,True,66661.75,124981042.0,105633576.0
2017,Arkansas,SEC,4.0,8.0,False,70225.33333333333,129680808.0,112902474.0
2018,Arkansas,SEC,2.0,10.0,False,58408.75,130126110.0,127369722.0
2019,Arkansas,SEC,2.0,10.0,False,59528.25,137497788.0,129620361.0
2020,Arkansas,SEC,3.0,7.0,False,16816.2,123357572.0,123857351.0
2021,Arkansas,SEC,9.0,4.0,True,72090.0,132396607.0,111597676.0
2022,Arkansas,SEC,7.0,6.0,True,69707.33333333333,152513755.0,144319041.0
2023,Arkansas,SEC,4.0,8.0,False,72659.16666666667,167366549.0,166552649.0
2005,Arkansas State,Sun Belt,6.0,6.0,True,1561.2727272727273,7214040.0,9424316.0
2006,Arkansas State,Sun Belt,6.0,6.0,False,22712.58333333333,7821660.0,10416949.0
2007,Arkansas State,Sun Belt,5.0,7.0,False,29156.916666666668,7827764.0,10392939.0
2008,Arkansas State,Sun Belt,6.0,6.0,False,30625.666666666668,8392852.0,10388098.0
2009,Arkansas State,Sun Belt,4.0,8.0,False,0.0,9975076.0,11051532.0
2010,Arkansas State,Sun Belt,4.0,8.0,False,0.0,9478903.0,13332956.0
2011,Arkansas State,Sun Belt,10.0,3.0,True,0.0,13374507.0,13374507.0
2012,Arkansas State,Sun Belt,10.0,3.0,True,30954.666666666668,15307308.0,15307308.0
2013,Arkansas State,Sun Belt,8.0,5.0,True,31461.83333333333,16281038.0,16281038.0
2014,Arkansas State,Sun Belt,7.0,6.0,True,28793.5,20151793.0,20151793.0
2015,Arkansas State,Sun Belt,9.0,4.0,True,24184.25,29211785.0,29211785.0
2016,Arkansas State,Sun Belt,8.0,5.0,True,21603.83333333333,43102044.0,43102044.0
2017,Arkansas State,Sun Belt,7.0,5.0,True,25735.272727272728,39459027.0,39459027.0
2018,Arkansas State,Sun Belt,8.0,5.0,True,24124.08333333333,40098989.0,40098989.0
2019,Arkansas State,Sun Belt,8.0,5.0,True,25808.08333333333,35550592.0,35550592.0
2020,Arkansas State,Sun Belt,4.0,7.0,False,5234.181818181818,36282680.0,36282680.0
2021,Arkansas State,Sun Belt,2.0,10.0,False,16551.75,29226736.0,29226736.0
2022,Arkansas State,Sun Belt,3.0,9.0,False,24700.5,32376515.0,32376515.0
2023,Arkansas State,Sun Belt,6.0,7.0,True,22339.58333333333,32840538.0,32840538.0
2014,Arkansas Tech,Great American,0.0,1.0,False,,,
2021,Arkansas Tech,Great American,4.0,7.0,False,,,
2022,Arkansas Tech,Great American,5.0,6.0,False,,,
2023,Arkansas Tech,Great American,5.0,6.0,False,,,
2021,Arkansas-Monticello,Great American,5.0,6.0,False,,,
2022,Arkansas-Monticello,Great American,3.0,8.0,False,,,
2023,Arkansas-Monticello,Great American,2.0,9.0,False,,,
2006,Arkansas-Pine Bluff,SWAC,0.0,1.0,False,,,
2007,Arkansas-Pine Bluff,SWAC,4.0,7.0,False,15329.0,,
2008,Arkansas-Pine Bluff,SWAC,3.0,9.0,False,,,
2009,Arkansas-Pine Bluff,SWAC,5.0,5.0,False,,,
2010,Arkansas-Pine Bluff,SWAC,5.0,5.0,False,0.0,,
2011,Arkansas-Pine Bluff,SWAC,6.0,5.0,False,,,
2012,Arkansas-Pine Bluff,SWAC,9.0,2.0,False,,,
2013,Arkansas-Pine Bluff,SWAC,2.0,9.0,False,30451.0,,
2014,Arkansas-Pine Bluff,SWAC,4.0,7.0,False,17813.0,,
2015,Arkansas-Pine Bluff,SWAC,2.0,8.0,False,,,
2016,Arkansas-Pine Bluff,SWAC,1.0,10.0,False,,,
2017,Arkansas-Pine Bluff,SWAC,2.0,9.0,False,20917.5,,
2018,Arkansas-Pine Bluff,SWAC,2.0,8.0,False,14937.0,,
2019,Arkansas-Pine Bluff,SWAC,6.0,5.0,False,40422.0,,
2020,Arkansas-Pine Bluff,SWAC,4.0,1.0,False,,,
2021,Arkansas-Pine Bluff,SWAC,2.0,9.0,False,42576.0,,
2022,Arkansas-Pine Bluff,SWAC,3.0,8.0,False,55509.0,,
2023,Arkansas-Pine Bluff,SWAC,2.0,9.0,False,17529.0,,
2005,Army,FBS Independents,4.0,7.0,False,5369.272727272727,21620575.0,20493126.0
2006,Army,FBS Independents,3.0,9.0,False,40692.583333333336,24395909.0,23209804.0
2007,Army,FBS Independents,3.0,9.0,False,36492.0,24643884.0,23479378.0
2008,Army,FBS Independents,3.0,9.0,False,35559.5,29398220.0,24888651.0
2009,Army,FBS Independents,5.0,7.0,False,0.0,28103137.0,25968123.0
2010,Army,FBS Independents,7.0,6.0,True,0.0,29664348.0,25784801.0
2011,Army,FBS Independents,3.0,9.0,False,0.0,34342038.0,27420476.0
2012,Army,FBS Independents,2.0,10.0,False,33628.916666666664,31498762.0,26301738.0
2013,Army,FBS Independents,3.0,9.0,False,34136.666666666664,37289204.0,27898527.0
2014,Army,FBS Independents,4.0,8.0,False,34714.666666666664,37143082.0,32532108.0
2015,Army,FBS Independents,2.0,10.0,False,38329.41666666666,41202176.0,37210925.0
2016,Army,FBS Independents,8.0,5.0,True,35025.416666666664,44191038.0,38651909.0
2017,Army,FBS Independents,10.0,3.0,True,39104.833333333336,,
2018,Army,FBS Independents,11.0,2.0,True,36000.333333333336,,
2019,Army,FBS Independents,5.0,8.0,False,38660.69230769231,,
2020,Army,FBS Independents,9.0,3.0,True,4976.181818181818,,
2021,Army,FBS Independents,9.0,4.0,True,33831.25,,
2022,Army,FBS Independents,6.0,6.0,False,30810.58333333333,66061475.0,56779409.0
2023,Army,FBS Independents,6.0,6.0,False,39816.16666666666,63479608.0,64412229.0
2021,Ashland,Great Midwest Athletic,5.0,5.0,False,,,
2022,Ashland,Great Midwest Athletic,10.0,2.0,False,,,
2023,Ashland,Great Midwest Athletic,8.0,3.0,False,,,
2014,Assumption,Northeast 10,0.0,1.0,False,,,
2021,Assumption,Northeast 10,5.0,5.0,False,,,
2022,Assumption,Northeast 10,7.0,3.0,False,,,
2023,Assumption,Northeast 10,5.0,5.0,False,,,
2005,Auburn,SEC,9.0,3.0,True,0.0,57395152.0,61314114.0
2006,Auburn,SEC,11.0,2.0,True,78829.91666666667,66599925.0,63249119.0
2007,Auburn,SEC,9.0,4.0,True,78658.75,81799266.0,68910465.0
2008,Auburn,SEC,5.0,7.0,False,75859.41666666667,89311824.0,69841200.0
2009,Auburn,SEC,8.0,5.0,True,0.0,87001413.0,85480343.0
2010,Auburn,SEC,14.0,0.0,True,0.0,92611558.0,90908902.0
2011,Auburn,SEC,8.0,5.0,True,0.0,103982441.0,100497784.0
2012,Auburn,SEC,3.0,9.0,False,75756.83333333333,105951251.0,96315831.0
2013,Auburn,SEC,12.0,2.0,True,85362.07692307692,103680609.0,103126413.0
2014,Auburn,SEC,8.0,5.0,True,82067.08333333333,113716004.0,126470602.0
2015,Auburn,SEC,7.0,6.0,True,78416.16666666667,124657247.0,115498047.0
2016,Auburn,SEC,8.0,5.0,True,84674.5,140070593.0,124864399.0
2017,Auburn,SEC,10.0,4.0,True,83988.15384615384,147511034.0,132885979.0
2018,Auburn,SEC,8.0,5.0,True,81118.83333333333,147620569.0,139798191.0
2019,Auburn,SEC,9.0,4.0,True,84172.25,152455416.0,139260711.0
2020,Auburn,SEC,6.0,5.0,True,17118.7,153703749.0,135816431.0
2021,Auburn,SEC,6.0,7.0,True,88683.25,123546999.0,133289885.0
2022,Auburn,SEC,5.0,7.0,False,82871.33333333333,174568442.0,151590763.0
2023,Auburn,SEC,6.0,7.0,True,78442.16666666667,195301922.0,192030692.0
2020,Augsburg,Minnesota,1.0,0.0,False,,,
2022,Augsburg,Minnesota,6.0,3.0,False,,,
2023,Augsburg,Minnesota,6.0,4.0,True,,,
2020,Augustana (IL),CCIW,1.0,2.0,False,,,
2022,Augustana (IL),CCIW,5.0,5.0,False,,,
2023,Augustana (IL),CCIW,8.0,2.0,False,,,
2021,Augustana University (SD),Northern Sun,9.0,3.0,False,,,
2022,Augustana University (SD),Northern Sun,7.0,4.0,False,,,
2023,Augustana University (SD),Northern Sun,11.0,2.0,True,,,
2020,Aurora,NACC,3.0,0.0,False,,,
2022,Aurora,NACC,11.0,2.0,False,,,
2023,Aurora,NACC,11.0,1.0,True,,,
2020,Austin,American Southwest,1.0,3.0,False,,,
2022,Austin,American Southwest,1.0,9.0,False,,,
2023,Austin,American Southwest,1.0,9.0,False,,,
2005,Austin Peay,Pioneer,2.0,9.0,False,,,
2006,Austin Peay,FCS Independents,3.0,8.0,False,,,
2007,Austin Peay,OVC,7.0,3.0,False,,,
2008,Austin Peay,OVC,2.0,9.0,False,,,
2009,Austin Peay,OVC,3.0,5.0,False,,,
2010,Austin Peay,OVC,1.0,9.0,False,0.0,,
2011,Austin Peay,OVC,3.0,8.0,False,0.0,,
2012,Austin Peay,OVC,2.0,9.0,False,40979.5,,
2013,Austin Peay,OVC,0.0,4.0,False,49959.333333333336,,
2014,Austin Peay,OVC,1.0,11.0,False,27361.0,,
2015,Austin Peay,OVC,0.0,11.0,False,27220.5,,
2016,Austin Peay,OVC,0.0,11.0,False,33891.5,,
2017,Austin Peay,OVC,8.0,4.0,False,24799.0,,
2018,Austin Peay,OVC,5.0,6.0,False,92746.0,,
2019,Austin Peay,OVC,11.0,4.0,False,,,
2020,Austin Peay,OVC,4.0,5.0,False,0.0,,
2021,Austin Peay,OVC,6.0,5.0,False,47848.0,,
2022,Austin Peay,Atlantic Sun,7.0,4.0,False,56663.5,,
2023,Austin Peay,UAC,9.0,3.0,True,101915.0,,
2020,Averett,USA South,1.0,2.0,False,,,
2022,Averett,Old Dominion,3.0,6.0,False,,,
2023,Averett,Old Dominion,5.0,5.0,False,,,
2018,Azusa Pacific,Great Northwest,0.0,1.0,False,,,
2005,BYU,Mountain West,6.0,6.0,True,4784.545454545455,,
2006,BYU,Mountain West,11.0,2.0,True,49665.583333333336,,
2007,BYU,Mountain West,11.0,2.0,True,50411.75,,
2008,BYU,Mountain West,10.0,3.0,True,51449.333333333336,,
2009,BYU,Mountain West,11.0,2.0,True,0.0,,
2010,BYU,Mountain West,7.0,6.0,True,0.0,,
2011,BYU,FBS Independents,10.0,3.0,True,0.0,,
2012,BYU,FBS Independents,8.0,5.0,True,50703.75,,
